what,when,with,where,why
Ph.D. in Plant Pathology,Dec. 2009,Kansas State University,"Manhattan, KS, USA",
,,,,"Dissertation Title: ""Disease risk mapping with metamodels for coarse resolution predictors: global potato late blight risk now and under future climate conditions."""
,,,,"Committee members: Drs. Karen A. Garrett (adviser), James P. Stack, Erick DeWolf and J. M. Shawn Hutchinson."
Graduate Certificate in Geographic Information Sciences,Dec. 2007,Kansas State University,"Manhattan, KS, USA",
B.S. in Agronomy (Soil and Crop Management),May 2000,Purdue University,"West Lafayette, IN, USA",
