what,when,with,where,why
Research Technologist,2002 – 2004,University of Nebraska – Lincoln,"Lincoln, Nebraska, USA",
Research Technician,2000 – 2003,University of Nebraska – Lincoln,"Clay Center, Nebraska, USA",
Assistant Director,1999 – 2000,Purdue University,"West Lafayette, Indiana, USA",
Research Technician,1997 – 1999,Purdue University,"West Lafayette, Indiana, USA",
